Event,Location,Venue,url
UFC on ESPN+ 13: de Randamie vs. Ladd,"Sacramento, California, USA",Golden 1 Center,"https://mmadecisions.com/decision/10268/Karl-Roberson-vs-Wellington-Turman
"
UFC on ESPN+ 13: de Randamie vs. Ladd,"Sacramento, California, USA",Golden 1 Center,"https://mmadecisions.com/decision/10267/Marvin-Vettori-vs-Cezar-Ferreira
"
UFC on ESPN+ 13: de Randamie vs. Ladd,"Sacramento, California, USA",Golden 1 Center,"https://mmadecisions.com/decision/10264/Julianna-Pena-vs-Nicco-Montaño
"
UFC on ESPN+ 13: de Randamie vs. Ladd,"Sacramento, California, USA",Golden 1 Center,"https://mmadecisions.com/decision/10263/Ryan-Hall-vs-Darren-Elkins
"
UFC on ESPN+ 13: de Randamie vs. Ladd,"Sacramento, California, USA",Golden 1 Center,"https://mmadecisions.com/decision/10261/Brianna-Van-Buren-vs-Livinha-Souza
"
UFC on ESPN+ 13: de Randamie vs. Ladd,"Sacramento, California, USA",Golden 1 Center,"https://mmadecisions.com/decision/10260/Benito-Lopez-vs-Vince-Morales
"
Bellator 224: Budd vs. Rubin,"Thackerville, Oklahoma, USA",WinStar World Casino,"https://mmadecisions.com/decision/10258/Bruna-Ellen-vs-Elina-Kallionidou
"
Bellator 224: Budd vs. Rubin,"Thackerville, Oklahoma, USA",WinStar World Casino,"https://mmadecisions.com/decision/10255/Rafael-Carvalho-vs-Chidi-Njokuani
"
Bellator 224: Budd vs. Rubin,"Thackerville, Oklahoma, USA",WinStar World Casino,"https://mmadecisions.com/decision/10252/Nainoa-Dung-vs-Brad-Robison
"
Bellator 224: Budd vs. Rubin,"Thackerville, Oklahoma, USA",WinStar World Casino,"https://mmadecisions.com/decision/10249/Leslie-Smith-vs-Sinead-Kavanagh
"
Bellator 224: Budd vs. Rubin,"Thackerville, Oklahoma, USA",WinStar World Casino,"https://mmadecisions.com/decision/10246/Will-Fleury-vs-Antonio-Jones
"
UFC 239: Jones vs. Santos,"Las Vegas, Nevada, USA",T-Mobile Arena,"https://mmadecisions.com/decision/10243/Jon-Jones-vs-Thiago-Santos
"
UFC 239: Jones vs. Santos,"Las Vegas, Nevada, USA",T-Mobile Arena,"https://mmadecisions.com/decision/10239/Michael-Chiesa-vs-Diego-Sanchez
"
UFC 239: Jones vs. Santos,"Las Vegas, Nevada, USA",T-Mobile Arena,"https://mmadecisions.com/decision/10238/Arnold-Allen-vs-Gilbert-Melendez
"
UFC 239: Jones vs. Santos,"Las Vegas, Nevada, USA",T-Mobile Arena,"https://mmadecisions.com/decision/10235/Cláudia-Gadelha-vs-Randa-Markos
"
UFC 239: Jones vs. Santos,"Las Vegas, Nevada, USA",T-Mobile Arena,"https://mmadecisions.com/decision/10232/Chance-Rencountre-vs-Ismail-Naurdiev
"
